"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Adam Frazier","Pirates","49","216","3","27","13","2","5.6 %","12.5 %",".101",".272",".246",".299",".347",".282","74","0.5","-6.9","0.5","0.1","15223"
"Leonys Martin","Indians","49","208","6","26","13","3","8.2 %","28.4 %",".130",".294",".223",".302",".353",".289","74","0.2","-6.7","-0.2","0.0","11846"
"Randal Grichuk","Blue Jays","55","228","8","27","19","1","7.9 %","28.9 %",".167",".296",".230",".294",".397",".297","84","-0.5","-5.2","-2.4","0.0","10243"
"Niko Goodrum","Tigers","49","204","4","25","14","4","11.3 %","26.0 %",".135",".268",".208",".299",".343",".282","73","1.1","-5.8","-1.0","0.0","12092"
"Brandon Drury","Blue Jays","46","184","5","19","16","0","4.3 %","29.3 %",".168",".293",".225",".261",".393",".276","69","0.8","-6.3","0.2","0.0","11615"
"Delino DeShields","Rangers","32","108","1","11","10","8","15.7 %","19.4 %",".102",".227",".182",".321",".284",".280","64","0.4","-4.4","0.9","0.0","11379"
"Yolmer Sanchez","White Sox","48","165","1","15","10","2","9.1 %","24.2 %",".062",".333",".248",".325",".310",".285","77","0.8","-4.0","-1.5","0.0","11602"
"Yuli Gurriel","Astros","52","215","4","26","20","0","5.1 %","11.6 %",".148",".280",".261",".298",".409",".300","90","-1.8","-4.6","-2.7","0.0","19198"
"Miguel Cabrera","Tigers","53","216","2","14","22","0","10.2 %","19.9 %",".073",".358",".288",".361",".361",".316","96","-1.1","-2.2","-5.2","0.0","1744"
"Renato Nunez","Orioles","54","211","13","28","32","0","5.2 %","26.1 %",".244",".264",".239",".289",".482",".322","100","-0.3","-0.4","-6.8","0.0","14503"
"Ryan Cordell","White Sox","35","100","3","8","11","2","9.0 %","30.0 %",".151",".321",".233",".320",".384",".308","92","0.5","-0.5","-2.8","0.0","15181"
"Vladimir Guerrero Jr.","Blue Jays","28","116","5","10","11","0","9.5 %","19.8 %",".181",".247",".229",".302",".410",".306","90","-1.7","-3.2","-0.7","0.0","19611"
"Jesse Winker","Reds","52","195","10","29","18","0","8.2 %","17.4 %",".216",".242",".239",".313",".455",".323","97","-1.3","-2.1","-4.0","0.0","13590"
"Raimel Tapia","Rockies","51","171","5","20","21","1","5.8 %","27.5 %",".211",".358",".273",".316",".484",".336","92","-1.2","-3.0","-2.4","0.0","14350"
"Jeimer Candelario","Tigers","40","170","2","17","9","1","11.2 %","27.1 %",".093",".255",".187",".282",".280",".252","53","1.2","-8.9","3.0","0.0","13621"
"Rowdy Tellez","Blue Jays","48","179","9","19","25","0","6.1 %","30.2 %",".213",".294",".238",".296",".451",".314","95","-0.5","-1.6","-4.7","0.0","15679"
"Hernan Perez","Brewers","41","108","5","14","10","3","4.6 %","26.9 %",".184",".304",".252",".287",".437",".306","86","-1.5","-3.4","-0.1","0.0","5751"
"Albert Pujols","Angels","48","194","9","21","26","0","9.3 %","12.9 %",".199",".214",".228",".304",".427",".311","96","-2.0","-3.0","-4.0","0.0","1177"
"Jose Peraza","Reds","53","169","5","16","12","4","5.9 %","15.4 %",".122",".208",".199",".260",".321",".255","52","0.3","-10.2","4.7","0.0","13593"
"Brian Dozier","Nationals","54","201","7","16","16","1","10.4 %","26.9 %",".153",".256",".209",".299",".362",".289","74","-1.0","-7.7","1.0","0.0","9810"
"Ender Inciarte","Braves","40","140","2","13","9","3","8.6 %","19.3 %",".105",".260",".218",".300",".323",".270","62","1.7","-5.1","0.2","0.0","4922"
"Gregory Polanco","Pirates","29","122","5","16","15","0","7.4 %","24.6 %",".205",".299",".250",".311",".455",".325","102","0.0","0.3","-4.7","0.0","12907"
"Wilmer Flores","Diamondbacks","42","138","2","13","14","0","4.3 %","10.1 %",".117",".301",".281",".326",".398",".313","90","-1.2","-2.9","-2.1","-0.1","5827"
"Danny Jansen","Blue Jays","42","145","2","8","10","0","9.0 %","25.5 %",".078",".209",".163",".243",".240",".220","31","0.2","-12.2","6.4","-0.1","16535"
"Mark Reynolds","Rockies","49","112","4","11","17","1","14.3 %","31.3 %",".185",".236",".185",".313",".370",".299","68","0.4","-4.3","0.0","-0.1","7619"
"Wilson Ramos","Mets","51","182","5","25","31","0","10.4 %","18.1 %",".118",".298",".261",".341",".379",".307","94","-2.8","-4.2","-2.4","-0.1","1433"
"JaCoby Jones","Tigers","42","149","5","13","14","5","6.7 %","32.2 %",".158",".296",".218",".291",".376",".286","76","0.7","-3.8","-2.2","-0.1","14818"
"Joey Votto","Reds","50","215","4","28","10","1","11.6 %","22.8 %",".124",".306",".242",".340",".366",".308","87","-0.3","-3.9","-3.8","-0.1","4314"
"Manuel Margot","Padres","50","135","2","12","10","5","3.7 %","23.7 %",".085",".295",".233",".261",".318",".251","54","0.9","-7.2","1.8","-0.1","14712"
"John Hicks","Tigers","29","103","3","8","8","1","5.8 %","28.2 %",".167",".292",".229",".272",".396",".283","74","-1.8","-5.3","0.4","-0.1","12547"
"Joey Rickard","Orioles","42","135","2","10","6","3","10.4 %","24.4 %",".144",".265",".203",".304",".347",".285","75","0.3","-4.0","-2.0","-0.1","13277"
"Daniel Robertson","Rays","48","170","2","20","15","1","11.8 %","23.5 %",".088",".267",".204",".312",".293",".276","72","-2.0","-8.0","0.7","-0.1","14145"
"Robinson Cano","Mets","45","181","3","15","13","0","5.5 %","19.9 %",".129",".290",".241",".287",".371",".284","78","0.2","-4.8","-2.4","-0.1","3269"
"Francisco Cervelli","Pirates","34","123","1","11","5","1","7.3 %","25.2 %",".055",".260",".193",".279",".248",".243","48","-0.3","-8.6","3.2","-0.1","5275"
"Miguel Rojas","Marlins","52","195","0","15","15","5","7.7 %","12.3 %",".040",".286",".251",".313",".291",".266","66","-1.2","-9.8","2.1","-0.1","7802"
"Ryon Healy","Mariners","47","187","7","24","26","0","7.0 %","21.4 %",".219",".262",".237",".289",".456",".310","97","-2.4","-3.0","-5.0","-0.1","15447"
"Daniel Murphy","Rockies","32","117","3","13","23","0","10.3 %","13.7 %",".173",".256",".240",".316",".413",".313","77","0.7","-2.9","-2.4","-0.1","4316"
"Willians Astudillo","Twins","29","103","2","15","9","0","1.9 %","2.9 %",".125",".242",".260",".272",".385",".274","66","-1.4","-5.8","0.5","-0.2","15608"
"Christin Stewart","Tigers","35","139","3","10","16","0","11.5 %","22.3 %",".176",".250",".210",".302",".387",".290","78","0.2","-3.6","-3.0","-0.2","17714"
"Teoscar Hernandez","Blue Jays","39","141","3","13","15","2","9.2 %","29.8 %",".110",".253",".189",".262",".299",".245","48","-0.1","-9.2","2.2","-0.2","13066"
"Yasiel Puig","Reds","52","208","10","22","31","7","5.8 %","25.0 %",".176",".241",".218",".264",".394",".277","67","0.2","-8.8","0.0","-0.2","14225"
"Steven Duggar","Giants","52","221","3","19","22","1","5.9 %","29.4 %",".108",".324",".235",".281",".343",".269","66","-1.5","-11.2","2.0","-0.2","17719"
"Juan Lagares","Mets","49","112","2","14","12","2","7.1 %","28.6 %",".090",".239",".180",".252",".270",".225","40","0.3","-8.3","2.3","-0.2","5384"
"Brandon Crawford","Giants","53","201","3","19","15","1","9.0 %","23.9 %",".094",".275",".215",".289",".309",".263","62","-0.9","-10.7","1.7","-0.3","5343"
"Odubel Herrera","Phillies","39","139","1","12","16","2","7.9 %","23.7 %",".119",".290",".222",".288",".341",".274","67","0.3","-5.6","-1.5","-0.3","11476"
"Justin Bour","Angels","30","112","4","10","14","0","11.6 %","27.7 %",".153",".190",".163",".268",".316",".260","62","0.1","-5.3","-1.5","-0.3","9744"
"Tyler White","Astros","36","125","1","9","8","0","11.2 %","34.4 %",".083",".343",".220",".304",".303",".271","70","-0.1","-4.8","-3.0","-0.3","15564"
"A.J. Pollock","Dodgers","28","115","2","15","14","0","7.8 %","20.0 %",".107",".263",".223",".287",".330",".266","65","0.3","-4.9","-2.4","-0.4","9256"
"Jackie Bradley Jr.","Red Sox","48","188","4","21","14","3","10.1 %","27.7 %",".130",".243",".185",".285",".315",".268","59","0.8","-8.8","-1.6","-0.4","12984"
"Wilmer Difo","Nationals","39","134","2","14","7","0","9.0 %","20.1 %",".066",".283",".231",".301",".298",".258","54","-0.8","-8.7","0.5","-0.4","14320"
"Carlos Gonzalez","Indians","30","117","2","13","7","0","8.5 %","28.2 %",".067",".282",".210",".282",".276",".251","49","-0.4","-7.9","-0.3","-0.4","7287"
"Maikel Franco","Phillies","54","210","8","24","30","0","8.6 %","12.4 %",".178",".209",".215",".281",".393",".268","63","-2.6","-12.5","1.3","-0.4","12179"
"Jurickson Profar","Athletics","52","213","8","24","31","4","6.1 %","14.6 %",".164",".191",".195",".258",".359",".264","63","1.1","-8.7","-3.3","-0.4","10815"
"Ryan O'Hearn","Royals","47","181","5","16","17","0","12.7 %","22.7 %",".147",".234",".199",".304",".346",".285","74","-1.8","-7.7","-3.1","-0.4","16442"
"Cole Tucker","Pirates","34","108","2","10","7","0","4.6 %","27.8 %",".108",".243",".186",".224",".294",".220","33","0.1","-9.3","1.3","-0.4","17326"
"Jake Bauers","Indians","53","201","5","22","20","2","10.9 %","25.4 %",".125",".264",".210",".303",".335",".283","70","0.5","-7.1","-4.7","-0.5","15194"
"Eloy Jimenez","White Sox","32","128","6","12","13","0","5.5 %","29.7 %",".175",".276",".225",".273",".400",".287","78","-0.3","-3.8","-5.4","-0.5","17484"
"Billy McKinney","Blue Jays","41","153","3","17","9","0","5.9 %","22.2 %",".143",".279",".229",".278",".371",".279","71","-1.5","-7.0","-3.3","-0.5","15654"
"Grayson Greiner","Tigers","35","137","3","9","11","0","7.3 %","31.4 %",".096",".250",".184",".248",".280",".234","41","-0.2","-10.5","0.5","-0.5","17062"
"Mallex Smith","Mariners","38","154","2","20","11","14","9.7 %","28.6 %",".102",".272",".197",".279",".299",".257","61","3.6","-3.9","-6.9","-0.5","13608"
"Johan Camargo","Braves","43","115","2","13","13","1","6.1 %","17.4 %",".111",".244",".213",".261",".324",".250","49","0.4","-7.2","-1.9","-0.5","14950"
"Daniel Descalso","Cubs","47","146","2","17","14","1","10.3 %","26.7 %",".101",".258",".194",".276",".295",".254","53","-1.9","-10.7","0.5","-0.5","8392"
"Chris Davis","Orioles","43","144","5","11","17","0","9.0 %","39.6 %",".147",".254",".171",".257",".318",".251","52","0.5","-8.3","-2.4","-0.6","9272"
"Kendrys Morales","- - -","44","171","2","13","11","0","12.9 %","12.9 %",".063",".207",".188",".310",".250",".263","62","-0.7","-8.9","-3.0","-0.6","8610"
"Curtis Granderson","Marlins","46","163","6","19","13","0","11.0 %","28.2 %",".184",".220",".184",".282",".369",".280","75","-3.9","-9.2","-2.1","-0.6","4747"
"Yonder Alonso","White Sox","54","212","7","21","25","0","12.7 %","22.2 %",".148",".200",".180",".288",".328",".270","66","-0.2","-9.2","-4.4","-0.6","2530"
"Kevin Pillar","- - -","55","211","6","23","25","6","3.3 %","17.1 %",".132",".226",".213",".246",".345",".247","51","2.5","-10.6","-2.5","-0.6","12434"
"Josh Harrison","Tigers","36","146","1","10","8","4","4.1 %","17.8 %",".088",".207",".176",".219",".265",".211","25","-0.6","-14.3","2.8","-0.6","8202"
"Martin Prado","Marlins","41","131","1","13","10","0","3.8 %","15.3 %",".065",".267",".234",".260",".298",".242","50","-1.4","-9.9","-0.9","-0.6","3312"
"Jesus Aguilar","Brewers","49","160","3","12","22","0","13.1 %","23.8 %",".098",".234",".189",".299",".288",".266","60","-1.8","-10.1","-2.1","-0.7","11342"
"Chris Owings","Royals","41","145","2","9","9","4","5.5 %","37.9 %",".089",".205",".133",".193",".222",".186","7","0.6","-16.3","3.9","-0.7","10030"
"Ian Kinsler","Padres","46","163","6","18","11","1","6.7 %","16.0 %",".167",".178",".180",".245",".347",".256","57","-2.7","-11.7","-0.9","-0.7","6195"
"Isiah Kiner-Falefa","Rangers","33","106","1","13","12","1","9.4 %","25.5 %",".129",".308",".226",".314",".355",".295","74","1.0","-2.4","-8.7","-0.7","16512"
"Rougned Odor","Rangers","41","170","7","22","24","4","7.6 %","34.7 %",".168",".202",".161",".231",".329",".243","39","-1.0","-14.0","0.6","-0.7","12282"
"Starlin Castro","Marlins","54","225","3","15","16","1","5.3 %","13.3 %",".067",".256",".233",".271",".300",".250","55","-2.0","-15.0","0.3","-0.7","4579"
"Zack Cozart","Angels","38","107","0","4","7","0","4.7 %","15.0 %",".021",".143",".124",".178",".144",".150","-13","0.0","-15.1","3.3","-0.8","2616"
"Travis Shaw","Brewers","40","154","4","11","8","0","11.0 %","32.5 %",".119",".222",".163",".266",".281",".242","44","-1.7","-12.7","-0.9","-0.9","11982"
"Richie Martin Jr.","Orioles","45","124","1","11","4","3","5.6 %","32.3 %",".105",".247",".167",".228",".272",".220","31","-1.4","-12.2","-1.2","-0.9","17736"
