"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kole Calhoun","Angels","52","222","11","35","31","2","11.3 %","22.1 %",".250",".269",".245",".335",".495",".344","119","0.7","5.9","-3.1","1.0","11200"
"Michael Chavis","Red Sox","35","154","10","21","27","2","11.0 %","28.6 %",".239",".325",".269",".364",".507",".368","127","-1.0","4.2","0.9","1.0","17321"
"Andrew Benintendi","Red Sox","50","236","6","27","25","7","11.4 %","23.7 %",".160",".326",".260",".355",".420",".334","104","2.1","3.1","-0.9","1.0","17901"
"Robinson Chirinos","Astros","43","161","6","24","22","0","14.3 %","25.5 %",".220",".289",".236",".371",".457",".356","127","-0.3","5.2","-0.3","1.0","3142"
"Fernando Tatis Jr.","Padres","27","111","6","14","13","6","7.2 %","28.8 %",".250",".381",".300",".360",".550",".380","139","0.5","6.1","0.9","1.0","19709"
"Austin Hedges","Padres","39","138","6","10","16","0","5.8 %","28.3 %",".167",".235",".198",".268",".365",".272","67","-0.3","-6.1","12.1","1.0","12976"
"Edwin Encarnacion","Mariners","54","236","13","36","34","0","13.6 %","19.1 %",".228",".239",".239",".352",".467",".349","124","-0.1","6.9","-4.8","1.0","2151"
"Tyler Flowers","Braves","31","110","5","10","10","0","6.4 %","32.7 %",".198",".350",".257",".318",".455",".329","101","-0.8","-0.7","7.5","1.0","9134"
"Francisco Lindor","Indians","37","167","7","23","19","6","10.2 %","14.4 %",".179",".291",".283",".359",".462",".344","111","0.1","2.4","1.9","1.0","12916"
"Jonathan Schoop","Twins","49","195","10","29","29","0","4.1 %","23.6 %",".238",".288",".254",".308",".492",".336","108","0.5","2.5","0.8","1.0","11265"
"Yandy Diaz","Rays","41","180","9","26","22","1","11.1 %","17.8 %",".244",".263",".256",".339",".500",".351","123","-1.2","3.9","-0.1","1.0","16578"
"Dansby Swanson","Braves","56","228","10","27","35","5","7.5 %","18.9 %",".211",".269",".255",".311",".466",".323","97","2.1","1.3","1.6","1.0","18314"
"Jorge Alfaro","Marlins","43","164","8","18","19","1","4.9 %","34.1 %",".179",".391",".278",".335",".457",".339","114","-1.1","1.9","2.9","1.0","12180"
"Jonathan Villar","Orioles","56","246","7","34","25","9","7.3 %","22.8 %",".165",".315",".259",".316",".424",".316","96","1.8","0.5","0.7","1.0","10071"
"Buster Posey","Giants","44","159","2","14","16","0","7.5 %","16.4 %",".137",".286",".247",".302",".384",".295","83","-1.6","-5.0","9.7","1.0","9166"
"Pablo Sandoval","Giants","51","109","7","15","18","1","4.6 %","27.5 %",".308",".343",".288",".321",".596",".378","138","0.1","5.4","0.8","1.0","5409"
"Jose Iglesias","Reds","52","189","4","21","21","1","4.2 %","13.8 %",".139",".340",".306",".339",".444",".331","102","-1.6","-1.1","4.7","0.9","10231"
"C.J. Cron","Twins","51","206","13","29","35","0","7.3 %","22.3 %",".259",".289",".270",".335",".530",".361","125","-0.5","5.9","-3.5","0.9","12546"
"Pedro Severino","Orioles","31","108","5","8","13","0","10.2 %","21.3 %",".204",".288",".258",".346",".462",".345","115","-0.7","1.3","4.4","0.9","14523"
"Justin Smoak","Blue Jays","51","214","11","26","31","0","16.8 %","19.2 %",".225",".246",".237",".379",".462",".362","127","-1.6","5.8","-3.8","0.9","9054"
"Juan Soto","Nationals","46","203","9","30","37","3","14.3 %","25.1 %",".233",".363",".291",".394",".523",".389","140","-1.6","8.8","-5.9","0.9","20123"
"Starling Marte","Pirates","45","208","6","28","21","8","3.4 %","19.2 %",".170",".291",".253",".300",".423",".308","91","1.9","-0.6","3.0","0.9","9241"
"Leury Garcia","White Sox","49","201","2","37","16","7","3.0 %","23.9 %",".079",".393",".302",".335",".381",".311","94","0.4","-1.0","2.9","0.9","5913"
"Brett Gardner","Yankees","52","206","8","32","21","6","9.7 %","14.6 %",".214",".247",".242",".320",".456",".329","103","0.3","1.2","0.3","0.9","9927"
"Eric Sogard","Blue Jays","30","134","4","17","13","4","11.2 %","13.4 %",".174",".280",".261",".351",".435",".340","112","1.3","3.4","0.5","0.9","7927"
"Mark Canha","Athletics","32","106","9","17","17","0","14.2 %","20.8 %",".349",".196",".233",".368",".581",".393","151","-0.1","6.6","-2.1","0.8","11445"
"Carson Kelly","Diamondbacks","36","112","5","12","15","0","9.8 %","17.0 %",".230",".303",".280",".357",".510",".364","124","-1.5","1.9","2.8","0.8","13620"
"David Bote","Cubs","48","155","6","20","22","0","10.3 %","25.8 %",".199",".352",".279",".361",".478",".356","120","0.7","4.8","-1.7","0.8","14593"
"Josh Phegley","Athletics","44","139","7","21","33","0","4.3 %","18.7 %",".240",".309",".287",".331",".527",".359","127","-2.3","2.5","0.6","0.8","9308"
"Austin Barnes","Dodgers","40","139","4","17","15","2","12.2 %","20.1 %",".162",".267",".231",".345",".393",".316","98","-0.3","-0.6","4.1","0.8","12158"
"Harrison Bader","Cardinals","42","126","4","16","13","1","10.3 %","29.4 %",".168",".333",".243",".352",".411",".325","102","-1.5","-1.2","5.0","0.8","18030"
"David Dahl","Rockies","46","184","5","27","18","1","7.1 %","29.3 %",".193",".440",".319",".372",".512",".372","116","-0.9","2.9","-0.9","0.8","13744"
"Ben Gamel","Brewers","51","148","4","23","14","1","10.1 %","29.1 %",".155",".373",".271",".358",".426",".335","105","1.5","2.5","0.5","0.8","12160"
"Clint Frazier","Yankees","39","153","10","21","28","1","5.9 %","26.8 %",".255",".304",".270",".314",".525",".346","115","0.4","3.3","-1.0","0.8","15983"
