Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1986,Tony Fernandez,Blue Jays,163,727,10,91,65,25,3.70%,7.20%,0.118,0.323,0.31,0.338,0.428,0.339,107,0.1,6.4,12.9,4.5,1004002
1919,Ross Youngs,Giants,130,560,2,73,43,24,9.10%,8.40%,0.104,0.341,0.311,0.384,0.415,0.382,146,1.5,27.6,-3.4,4.5,1014390
1904,Kid Elberfeld,Highlanders,122,511,2,55,46,18,7.20%,,0.065,,0.263,0.337,0.328,0.325,105,-0.1,2.4,22.5,4.5,1003722
2000,Johnny Damon,Royals,159,741,16,136,88,46,8.80%,8.10%,0.168,0.335,0.327,0.382,0.495,0.377,115,5.2,19.8,1.4,4.5,185
1969,Willie Davis,Dodgers,129,540,11,66,59,24,6.10%,7.20%,0.145,0.318,0.311,0.356,0.456,0.362,132,1.2,21,2,4.5,1003088
1999,Doug Glanville,Phillies,150,692,11,101,73,34,6.90%,11.80%,0.132,0.357,0.325,0.376,0.457,0.366,111,5.9,16.4,8.2,4.5,956
1974,Joe Rudi,Athletics,158,639,22,73,99,2,5.30%,14.40%,0.191,0.314,0.293,0.334,0.484,0.367,138,-0.6,26,-4.7,4.5,1011283
1974,Gene Tenace,Athletics,158,612,26,71,73,2,18.00%,17.20%,0.2,0.213,0.211,0.367,0.411,0.361,135,-2.9,20.3,1.9,4.5,1012911
1918,Max Carey,Pirates,126,549,3,70,48,58,11.30%,4.60%,0.075,0.284,0.274,0.363,0.348,0.353,118,8.2,17.9,4.9,4.5,1001944
2000,Jose Valentin,White Sox,144,648,25,107,92,19,9.10%,16.40%,0.218,0.295,0.273,0.343,0.491,0.358,107,3,9,15.2,4.5,256
1932,Ben Chapman,Yankees,151,662,10,101,107,38,10.70%,8.30%,0.174,0.318,0.299,0.381,0.473,0.385,124,-0.4,21.7,0.5,4.5,1002141
1927,Bibb Falk,White Sox,145,613,9,76,83,5,8.50%,3.10%,0.138,0.327,0.327,0.391,0.465,0.396,124,-2.5,17.6,5.7,4.5,1003911
2003,Ivan Rodriguez,Marlins,144,578,16,90,85,10,9.50%,15.90%,0.176,0.333,0.297,0.369,0.474,0.363,122,-0.7,15.8,10.6,4.5,1275
1975,Dave Cash,Phillies,162,766,4,111,57,13,7.30%,4.40%,0.083,0.313,0.305,0.356,0.388,0.341,105,0.4,5,12.9,4.5,1002041
1935,Billy Rogell,Tigers,150,648,6,88,71,3,12.30%,4.50%,0.113,0.282,0.275,0.367,0.388,0.353,97,-2.3,-4.7,28.3,4.5,1011128
2000,Geoff Jenkins,Brewers,135,564,34,100,94,11,5.90%,23.90%,0.285,0.349,0.303,0.36,0.588,0.396,132,1.8,26.3,2.2,4.5,690
2002,Jose Hernandez,Brewers,152,582,24,72,73,3,8.90%,32.30%,0.19,0.404,0.288,0.356,0.478,0.36,119,-4.1,9.4,16.3,4.5,688
1906,Charlie Hemphill,Browns,154,646,4,90,62,33,6.70%,,0.094,,0.289,0.338,0.383,0.35,125,1.9,19.1,-0.8,4.5,1005624
2012,Adam Jones,Orioles,162,697,32,103,82,16,4.90%,18.10%,0.218,0.313,0.287,0.334,0.505,0.361,127,0.5,22.5,-3.6,4.5,6368
1977,Mickey Rivers,Yankees,138,594,12,79,69,22,3.00%,7.60%,0.113,0.337,0.326,0.35,0.439,0.348,118,-0.8,11.5,12.3,4.5,1011005
1921,Joe Sewell,Indians,154,683,4,101,93,7,11.70%,2.50%,0.126,0.323,0.318,0.412,0.444,0.399,119,1.1,19.2,3.5,4.5,1011766
1978,Ken Singleton,Orioles,149,608,20,67,81,0,16.10%,15.50%,0.169,0.326,0.293,0.409,0.462,0.395,154,0.1,36.6,-15.5,4.5,1012011
1941,Joe Medwick,Dodgers,133,579,18,100,88,2,6.60%,6.00%,0.199,0.315,0.318,0.364,0.517,0.401,142,0.1,28.2,-1.7,4.5,1008719
1994,Matt Williams,Giants,112,483,43,74,96,1,6.80%,18.00%,0.339,0.239,0.267,0.319,0.607,0.382,133,0.2,20.8,9,4.5,77
1929,Earle Combs,Yankees,142,666,3,119,65,11,10.40%,4.80%,0.123,0.361,0.345,0.414,0.468,0.404,133,-1.4,29,-5.5,4.5,1002478
1914,Vic Saier,Cubs,153,658,18,87,72,19,14.30%,9.30%,0.175,0.242,0.24,0.357,0.415,0.375,130,1.8,23.4,-1.7,4.5,1011372
1953,Carl Furillo,Dodgers,132,518,21,82,92,1,6.60%,6.20%,0.236,0.338,0.344,0.393,0.58,0.43,147,0.2,32.5,-4.5,4.5,1004409
1991,Danny Tartabull,Royals,132,557,31,78,100,6,11.70%,21.70%,0.277,0.362,0.316,0.397,0.593,0.43,168,0,44.8,-21,4.5,1012829
1965,Bill White,Cardinals,148,618,24,82,73,3,10.20%,13.90%,0.192,0.304,0.289,0.364,0.481,0.369,127,-0.5,18.8,3.2,4.5,1013855
1974,George Scott,Brewers,158,672,17,74,82,9,8.80%,13.40%,0.151,0.304,0.281,0.345,0.432,0.353,124,-1.5,16,5.1,4.5,1011682
1952,Duke Snider,Dodgers,144,598,21,80,92,7,9.20%,12.90%,0.191,0.323,0.303,0.368,0.494,0.395,135,0.4,24.8,-2.9,4.5,1012230
2014,Marcell Ozuna,Marlins,153,612,23,72,85,3,6.70%,26.80%,0.186,0.337,0.269,0.317,0.455,0.338,116,1.2,12.3,9.8,4.5,10324
1903,Sam Mertes,Giants,138,592,7,100,104,45,10.30%,,0.157,,0.28,0.36,0.437,0.375,123,5,22.7,-0.7,4.5,1008794
1934,Heinie Manush,Senators,137,605,11,88,89,7,6.00%,3.80%,0.174,0.351,0.349,0.392,0.523,0.413,134,-0.2,28.2,-3.6,4.5,1008089
1916,Roger Peckinpaugh,Yankees,145,635,4,65,58,18,9.80%,7.90%,0.091,0.275,0.255,0.332,0.346,0.331,103,1.7,4,16,4.5,1010116
1959,Del Crandall,Braves,150,581,21,65,72,5,7.90%,8.30%,0.166,0.247,0.257,0.318,0.423,0.324,103,0.8,2.6,20.7,4.5,1002729
2014,Freddie Freeman,Braves,162,708,18,93,78,3,12.70%,20.50%,0.173,0.351,0.288,0.386,0.461,0.374,140,-3.8,28,-8.8,4.5,5361
1975,Richie Zisk,Pirates,147,578,20,69,75,0,11.80%,18.90%,0.185,0.332,0.29,0.374,0.474,0.381,137,-0.3,24.2,-0.6,4.5,1014455
1916,Bobby Veach,Tigers,150,645,3,92,91,24,8.10%,6.40%,0.127,0.326,0.306,0.367,0.433,0.384,134,-2.3,20.8,-1.4,4.4,1013388
1921,Jack Fournier,Cardinals,149,661,16,103,86,20,8.50%,7.30%,0.162,0.355,0.343,0.409,0.505,0.418,145,-3.4,34.5,-11.4,4.4,1004264
1954,Eddie Yost,Senators,155,687,11,101,47,7,19.10%,10.30%,0.124,0.277,0.256,0.405,0.38,0.373,126,0.9,21.8,-0.1,4.4,1014357
1908,George Stone,Browns,148,659,5,89,31,20,8.30%,,0.088,,0.281,0.345,0.369,0.35,133,-0.7,20.5,-3.3,4.4,1012564
1958,Del Crandall,Braves,131,485,18,50,63,4,9.90%,7.80%,0.185,0.261,0.272,0.348,0.457,0.344,113,0.7,8.2,19.4,4.4,1002729
1950,Bob Elliott,Braves,142,602,24,94,107,2,11.30%,11.10%,0.207,0.314,0.305,0.386,0.512,0.405,139,0.2,30.2,-3.3,4.4,1003733
1950,Roy Campanella,Dodgers,126,494,31,70,89,1,11.10%,10.30%,0.27,0.259,0.281,0.364,0.551,0.406,134,0.1,21.5,8.6,4.4,1001871
1995,Brian Jordan,Cardinals,131,525,22,83,81,24,4.20%,15.00%,0.192,0.315,0.296,0.339,0.488,0.358,117,0.7,12.1,15.1,4.4,658
1978,Don Money,Brewers,137,588,14,88,54,3,8.20%,11.90%,0.147,0.317,0.293,0.361,0.44,0.363,129,0.7,19.5,3.3,4.4,1009052
1992,Mark Grace,Cubs,158,689,9,72,79,6,10.40%,5.20%,0.123,0.311,0.307,0.38,0.43,0.364,128,0.6,22.1,-1.7,4.4,56
1945,Andy Pafko,Cubs,144,608,12,64,110,5,7.40%,5.90%,0.157,0.302,0.298,0.361,0.455,0.384,126,0.7,19.3,3.1,4.4,1009948
1951,Bobby Avila,Indians,141,615,10,76,58,14,9.80%,5.00%,0.105,0.309,0.304,0.374,0.41,0.365,118,0.1,13.9,10.2,4.4,1000380
1968,Gene Alley,Pirates,133,530,4,48,39,13,7.40%,14.70%,0.076,0.284,0.245,0.307,0.321,0.286,91,1,-3.9,26.9,4.4,1000160
1944,Roy Cullenbine,Indians,154,666,16,98,80,4,13.10%,7.40%,0.161,0.289,0.284,0.38,0.445,0.389,141,-1.2,30,-10.5,4.4,1002861
2007,Brandon Phillips,Reds,158,702,30,107,94,32,4.70%,15.50%,0.197,0.304,0.288,0.331,0.485,0.35,104,-1.1,2.6,19.7,4.4,791
1974,Bobby Bonds,Giants,150,670,21,97,71,41,14.20%,20.00%,0.178,0.298,0.256,0.364,0.434,0.364,121,4.2,20.3,0.2,4.4,1001157
1903,Elmer Flick,Naps,140,593,2,81,51,24,8.60%,,0.117,,0.296,0.368,0.413,0.37,134,0.4,24.6,-0.9,4.4,1004158
1909,Dick Hoblitzel,Reds,142,592,4,59,67,17,7.40%,,0.11,,0.308,0.364,0.418,0.381,140,-1,23.7,-5.4,4.4,1005871
2010,Nick Swisher,Yankees,150,635,29,91,89,1,9.10%,21.90%,0.223,0.335,0.288,0.359,0.511,0.379,134,-1.2,24.5,-4.5,4.4,4599
1972,Bobby Tolan,Reds,149,667,8,88,82,42,6.60%,13.20%,0.103,0.317,0.283,0.334,0.386,0.327,108,3.3,8.9,9.2,4.4,1013100
2009,Ryan Howard,Phillies,160,703,45,105,141,8,10.70%,26.50%,0.292,0.325,0.279,0.36,0.571,0.392,139,-0.2,33.9,-11.5,4.4,2154
1996,Jeff Conine,Marlins,157,670,26,84,95,1,9.30%,18.10%,0.191,0.326,0.293,0.36,0.484,0.366,124,-1.8,19,6.4,4.4,131
1947,Roy Cullenbine,Tigers,142,607,24,82,78,3,22.60%,8.40%,0.198,0.206,0.224,0.401,0.422,0.391,131,-0.3,21.8,2,4.4,1002861
1925,Sam Rice,Senators,152,709,1,111,87,26,5.20%,1.40%,0.092,0.354,0.35,0.388,0.442,0.383,114,2.1,15.6,5.9,4.4,1010900
2004,Javy Lopez,Orioles,150,638,23,83,86,0,7.40%,15.20%,0.187,0.344,0.316,0.37,0.503,0.373,127,-3.6,18.7,5.1,4.4,103
1968,Matty Alou,Pirates,146,598,0,59,52,18,4.50%,4.30%,0.065,0.345,0.332,0.362,0.396,0.341,128,0.3,17.1,0,4.4,1000179
1992,Lou Whitaker,Tigers,130,544,19,77,71,6,14.90%,8.50%,0.183,0.273,0.278,0.386,0.461,0.382,138,-0.5,22.6,1.3,4.4,1013846
1938,Red Rolfe,Yankees,151,714,10,132,80,13,10.40%,6.20%,0.13,0.322,0.311,0.386,0.441,0.382,110,1.9,12.8,5.8,4.4,1011157
1978,Darrell Porter,Royals,150,602,18,77,78,0,12.50%,12.50%,0.179,0.278,0.265,0.358,0.444,0.355,122,-1.8,12.8,9,4.4,1010450
1994,Craig Biggio,Astros,114,511,6,88,56,39,12.10%,11.40%,0.165,0.355,0.318,0.411,0.483,0.394,144,6.1,34.8,-5.7,4.4,549
1945,Wally Moses,White Sox,140,641,2,79,50,11,10.80%,5.10%,0.125,0.311,0.295,0.373,0.42,0.377,131,-0.1,22,0,4.4,1009244
1983,Johnny Ray,Pirates,151,623,5,68,53,18,5.60%,4.20%,0.116,0.289,0.283,0.323,0.399,0.322,98,-0.1,-1.2,24.4,4.4,1010727
1970,Orlando Cepeda,Braves,148,627,34,87,111,6,7.50%,12.00%,0.238,0.301,0.305,0.365,0.543,0.395,135,-0.6,26.9,-5.8,4.4,1002103
1976,Hal McRae,Royals,149,609,8,75,73,22,10.50%,7.10%,0.129,0.345,0.332,0.407,0.461,0.395,154,-0.2,34.5,-13,4.4,1008687
2015,Jose Altuve,Astros,154,689,15,86,66,38,4.80%,9.70%,0.146,0.329,0.313,0.353,0.459,0.347,124,-4,15,4.2,4.4,5417
1970,Ken Henderson,Giants,148,649,17,104,88,20,13.40%,12.00%,0.166,0.317,0.294,0.394,0.46,0.381,130,3.1,27.6,-7.4,4.4,1005634
1947,Johnny Pesky,Red Sox,155,719,0,106,39,12,10.00%,3.10%,0.067,0.336,0.324,0.393,0.392,0.371,117,-1.4,12.7,7.2,4.4,1010219
1937,Wally Moses,Athletics,154,712,25,113,86,9,7.60%,5.30%,0.23,0.312,0.32,0.374,0.55,0.412,124,-1.7,23.5,-3.7,4.4,1009244
1915,Max Flack,Whales,141,583,3,88,45,37,6.90%,3.60%,0.109,0.323,0.314,0.365,0.423,0.378,133,7,28.8,-5,4.4,1004124
1970,Willie Davis,Dodgers,146,637,8,92,93,38,4.60%,8.50%,0.133,0.322,0.305,0.335,0.438,0.342,111,2.2,11.1,10.2,4.4,1003088
1991,Jay Bell,Pirates,157,697,16,96,67,10,7.50%,14.20%,0.158,0.298,0.27,0.33,0.428,0.339,116,-0.4,12.3,7.3,4.4,48
1980,Jose Cruz,Astros,160,680,11,79,91,36,8.80%,9.70%,0.124,0.32,0.302,0.36,0.426,0.347,124,2.8,21.4,-0.2,4.4,1002841
1990,Andy Van Slyke,Pirates,136,569,17,67,77,14,11.60%,15.60%,0.181,0.315,0.284,0.367,0.465,0.371,133,1,23.1,-1.1,4.4,1013363
1901,Emmet Heidrick,Cardinals,118,539,6,94,67,32,3.90%,,0.131,,0.339,0.366,0.47,0.388,136,2.6,27.9,-0.9,4.4,1005587
1942,Pete Reiser,Dodgers,125,537,10,89,64,20,8.90%,8.40%,0.152,0.327,0.31,0.375,0.463,0.394,141,3.7,28.1,-2.8,4.4,1010814
1956,Bob Nieman,- - -,128,522,14,63,68,1,17.20%,12.10%,0.175,0.347,0.32,0.436,0.495,0.414,152,-1.8,32.4,-6.8,4.4,1009587
1963,Norm Cash,Tigers,147,593,26,67,79,2,15.00%,12.80%,0.201,0.272,0.27,0.386,0.471,0.379,138,-0.5,25.3,-0.4,4.4,1002043
1990,Darren Daulton,Phillies,143,540,12,62,57,7,13.30%,13.30%,0.148,0.293,0.268,0.367,0.416,0.35,116,0.8,10.8,12.6,4.4,1003010
1983,Bill Doran,Astros,154,629,8,70,39,12,13.70%,10.70%,0.093,0.297,0.271,0.371,0.364,0.334,114,-2.5,7.8,14.6,4.4,1003406
1989,Carney Lansford,Athletics,148,616,2,81,52,37,8.30%,4.10%,0.069,0.347,0.336,0.398,0.405,0.366,136,1.3,26.6,-6.3,4.4,1007331
1973,Ron Cey,Dodgers,152,595,15,60,80,1,12.40%,12.90%,0.14,0.258,0.245,0.338,0.385,0.327,106,0.1,4.5,19.6,4.4,1002108
1945,Eddie Mayo,Tigers,134,561,10,71,54,7,8.40%,5.20%,0.12,0.288,0.285,0.347,0.405,0.358,113,-1.6,6.4,18.4,4.4,1008307
1963,Albie Pearson,Angels,154,684,6,92,47,17,13.50%,5.40%,0.093,0.317,0.304,0.402,0.398,0.361,132,0,25.4,-4,4.4,1010108
1937,Frank Demaree,Cubs,154,687,17,104,115,6,8.30%,4.50%,0.161,0.321,0.324,0.382,0.485,0.394,134,0.8,29.8,-6.7,4.4,1003190
1971,Billy Williams,Cubs,157,677,28,86,93,7,11.40%,6.50%,0.204,0.288,0.301,0.383,0.505,0.392,139,-0.3,28.7,-11.4,4.4,1013975
1990,Kal Daniels,Dodgers,130,526,27,81,94,4,12.90%,19.80%,0.236,0.329,0.296,0.389,0.531,0.408,157,-0.6,34.4,-11.1,4.4,1002973
1931,Lu Blue,White Sox,155,725,1,119,62,13,17.50%,8.30%,0.095,0.337,0.304,0.43,0.399,0.395,127,1.1,27.5,-8.7,4.4,1001093
1969,Matty Alou,Pirates,162,746,1,105,48,22,5.60%,4.70%,0.08,0.346,0.331,0.369,0.411,0.351,119,1.7,18.2,-3,4.4,1000179
1951,Vic Wertz,Tigers,138,581,27,86,94,0,13.40%,10.50%,0.226,0.281,0.285,0.383,0.511,0.406,136,-0.7,25.4,-0.5,4.4,1013795
1933,Buddy Myer,Senators,131,601,4,95,61,6,10.00%,4.80%,0.134,0.314,0.302,0.374,0.436,0.375,115,-2.2,10,12,4.4,1009415
1946,Enos Slaughter,Cardinals,156,685,18,100,130,9,10.10%,6.00%,0.164,0.3,0.3,0.374,0.465,0.392,137,1.4,29.2,-8.7,4.4,1012060
2013,Alex Gordon,Royals,156,700,20,90,81,11,7.40%,20.10%,0.156,0.31,0.265,0.327,0.422,0.326,104,7.1,9.9,8.2,4.4,5209
1978,Rod Carew,Twins,152,651,5,85,70,27,12.00%,9.50%,0.108,0.364,0.333,0.411,0.441,0.378,135,2.8,28.6,-8.7,4.4,1001942
1953,Pee Wee Reese,Dodgers,140,625,13,108,61,22,13.10%,9.80%,0.149,0.287,0.271,0.374,0.42,0.365,108,2.5,8.7,15.3,4.4,1010776
1948,Pee Wee Reese,Dodgers,151,654,9,96,75,25,12.10%,9.60%,0.117,0.296,0.274,0.363,0.39,0.357,103,4.7,7.4,15.2,4.4,1010776
1947,Luke Appling,White Sox,139,572,8,67,49,8,11.20%,4.90%,0.105,0.313,0.306,0.386,0.412,0.375,126,-0.9,16.4,8,4.4,1000284
1997,John Olerud,Mets,154,630,22,90,102,0,13.50%,10.60%,0.195,0.298,0.294,0.4,0.489,0.389,138,0.1,30.3,-5.5,4.4,1093
1937,John Stone,Senators,139,609,6,84,88,6,10.80%,5.90%,0.149,0.346,0.33,0.403,0.48,0.403,125,-1,21,2.2,4.4,1012568
1905,Bobby Wallace,Browns,156,641,1,67,59,13,7.00%,,0.078,,0.271,0.324,0.349,0.326,116,-1.7,9,10.6,4.4,1013542
2015,Matt Duffy,Giants,149,612,12,77,77,12,4.90%,15.70%,0.133,0.336,0.295,0.334,0.428,0.331,113,4.5,13.8,8.7,4.4,13836
1962,Bill White,Cardinals,159,682,20,93,102,9,8.50%,10.10%,0.158,0.339,0.324,0.386,0.482,0.384,125,-0.9,20.3,-0.3,4.4,1013855
2006,Reed Johnson,Blue Jays,134,517,12,86,49,8,6.40%,15.70%,0.161,0.366,0.319,0.39,0.479,0.377,126,0.4,17.9,9.8,4.4,1702
1983,Paul Molitor,Brewers,152,682,15,95,47,41,8.70%,10.90%,0.14,0.284,0.27,0.333,0.41,0.331,108,4.9,11.4,8.7,4.4,1009040
1938,Hal Trosky,Indians,150,626,19,106,110,5,10.70%,6.40%,0.208,0.335,0.334,0.407,0.542,0.428,133,0.3,30.3,-8.4,4.4,1013190
1951,Ferris Fain,Athletics,117,511,6,63,57,0,15.70%,3.90%,0.127,0.351,0.344,0.451,0.471,0.428,150,-0.7,31.1,-4.1,4.4,1003902
2011,Matt Holliday,Cardinals,124,516,22,83,75,2,11.60%,18.00%,0.229,0.33,0.296,0.388,0.525,0.395,154,-2.5,29.9,-3.9,4.4,1873
2000,Jim Thome,Indians,158,684,37,106,106,1,17.30%,25.00%,0.262,0.319,0.269,0.398,0.531,0.399,131,0.3,29.5,-7.1,4.4,409
1994,Larry Walker,Expos,103,452,19,76,86,15,10.40%,16.40%,0.266,0.351,0.322,0.394,0.587,0.414,149,0.8,29.4,0.8,4.4,455
1921,Rabbit Maranville,Pirates,153,685,1,90,70,25,6.90%,5.50%,0.085,0.312,0.294,0.347,0.379,0.339,93,1.8,-4.5,25.4,4.4,1008099
2017,Daniel Murphy,Nationals,144,593,23,94,93,2,8.80%,13.00%,0.221,0.341,0.322,0.384,0.543,0.385,135,-2,24.7,0.1,4.4,4316
1964,Luis Aparicio,Orioles,146,642,10,93,37,57,7.60%,7.90%,0.097,0.276,0.266,0.324,0.363,0.31,96,5.2,2.3,21.7,4.4,1000278
1999,Mike Bordick,Orioles,160,708,10,93,77,14,7.60%,14.40%,0.125,0.312,0.277,0.334,0.403,0.325,91,1,-7.9,28.4,4.4,129
1992,John Kruk,Phillies,144,607,10,86,70,3,15.20%,14.50%,0.134,0.37,0.323,0.423,0.458,0.396,154,-1.5,34.3,-12.9,4.4,1007184
1909,Johnny Evers,Cubs,127,552,1,88,24,28,13.20%,,0.073,,0.263,0.369,0.337,0.353,122,1,13.5,7,4.4,1003876
1962,Joe Cunningham,White Sox,149,652,8,91,70,3,15.50%,9.00%,0.133,0.315,0.295,0.41,0.428,0.378,131,-0.5,25,-0.8,4.4,1002881
1993,Carlos Baerga,Indians,154,680,21,105,114,15,5.00%,10.00%,0.165,0.327,0.321,0.355,0.486,0.364,122,1.5,19.8,2.4,4.4,175
1969,Jim Fregosi,Angels,161,685,12,78,47,9,13.60%,12.60%,0.121,0.286,0.26,0.361,0.381,0.34,114,1.3,12.1,8.5,4.4,1004330
2003,Mark Loretta,Padres,154,653,13,74,72,5,8.30%,9.50%,0.127,0.332,0.314,0.372,0.441,0.356,121,-1.7,15.5,7.7,4.4,1383
2016,DJ LeMahieu,Rockies,146,635,11,104,66,11,10.40%,12.60%,0.147,0.388,0.348,0.416,0.495,0.391,130,0.1,23.5,-0.3,4.4,9874
2007,Coco Crisp,Red Sox,145,591,6,85,60,28,8.50%,14.20%,0.114,0.306,0.268,0.33,0.382,0.316,85,8.4,-2.6,27.1,4.4,1572
1974,Graig Nettles,Yankees,155,638,22,74,75,1,9.20%,11.80%,0.157,0.245,0.246,0.316,0.403,0.325,106,0.3,4.6,16.8,4.4,1009517
1940,Eddie Miller,Bees,151,617,14,78,79,8,6.60%,7.00%,0.142,0.279,0.276,0.33,0.418,0.341,110,1.3,8.7,16.3,4.4,1008892
1900,Willie Keeler,Superbas,136,619,4,106,68,41,4.80%,,0.087,,0.362,0.402,0.449,0.404,130,2.3,29.1,-4.7,4.4,1006747
2013,Jayson Werth,Nationals,129,532,25,84,82,10,11.30%,19.00%,0.214,0.358,0.318,0.398,0.532,0.403,159,1.3,36.5,-11.8,4.4,1327
1905,Art Devlin,Giants,153,616,2,74,61,59,10.70%,,0.065,,0.246,0.344,0.31,0.326,99,7.1,6.3,12.7,4.4,1003248
1944,Ron Northey,Blue Jays,152,645,22,72,104,1,10.40%,7.90%,0.209,0.286,0.288,0.367,0.496,0.401,141,-0.2,30.6,-9.5,4.4,1009643
1997,Todd Hundley,Mets,132,508,30,78,86,2,16.30%,22.80%,0.276,0.304,0.273,0.394,0.549,0.396,143,-0.9,26.8,1.8,4.4,284
1980,Bobby Grich,Angels,150,596,14,60,62,3,14.10%,18.10%,0.137,0.318,0.271,0.377,0.408,0.358,122,-2.3,12.9,9.1,4.4,1005033
1928,Bill Terry,Giants,149,649,17,100,101,7,9.90%,5.50%,0.192,0.326,0.326,0.394,0.518,0.413,137,1,32.4,-8.4,4.4,1012927
2005,Derek Jeter,Yankees,159,752,19,122,70,14,10.20%,15.60%,0.141,0.351,0.309,0.389,0.45,0.369,129,0.2,26.4,-8.1,4.4,826
2007,Mark Ellis,Athletics,150,642,19,84,76,9,6.90%,14.60%,0.165,0.3,0.276,0.336,0.441,0.34,107,4.9,10.5,12.2,4.4,1443
1994,Tony Phillips,Tigers,114,538,19,91,61,13,17.70%,19.50%,0.187,0.328,0.281,0.409,0.468,0.388,130,0.4,21.6,5.1,4.4,1010300
1946,Del Ennis,Phillies,141,583,17,70,73,5,6.70%,11.10%,0.172,0.332,0.313,0.364,0.485,0.395,140,0.7,26.5,-3,4.4,1003786
1973,Paul Blair,Orioles,146,554,10,73,64,18,7.80%,13.00%,0.122,0.307,0.28,0.334,0.402,0.331,109,0.7,6.5,17.3,4.4,1001031
1967,Don Mincher,Angels,147,563,25,81,76,0,12.30%,12.30%,0.214,0.274,0.273,0.367,0.487,0.38,154,-0.8,31.2,-8.1,4.4,1008973
2016,Nelson Cruz,Mariners,155,667,43,96,105,2,9.30%,23.80%,0.268,0.32,0.287,0.36,0.555,0.383,148,-3.2,35,-15.3,4.4,2434
1928,Lu Blue,Browns,154,678,14,116,80,12,15.50%,6.30%,0.175,0.285,0.281,0.4,0.455,0.396,122,-1,18.5,1.3,4.4,1001093
2007,Mark Teixeira,- - -,132,575,30,86,105,0,12.50%,19.50%,0.257,0.342,0.306,0.4,0.563,0.407,146,2.5,36,-10.7,4.4,1281
2002,Pat Burrell,Phillies,157,684,37,96,116,1,13.00%,22.40%,0.263,0.318,0.282,0.376,0.544,0.39,140,-2,32.3,-10.8,4.4,949
1949,Mickey Vernon,Indians,153,659,18,72,83,9,8.80%,7.70%,0.152,0.295,0.291,0.357,0.443,0.372,113,-1.3,10,11.4,4.4,1013416
1977,Thurman Munson,Yankees,149,638,18,85,100,5,6.10%,8.60%,0.155,0.315,0.308,0.351,0.462,0.355,123,-0.9,16.2,4.9,4.4,1009334
1916,Wally Pipp,Yankees,151,617,12,70,93,16,8.80%,13.30%,0.154,0.29,0.262,0.331,0.417,0.361,122,1.5,15.6,4.4,4.4,1010365
1950,Alvin Dark,Giants,154,643,16,79,67,9,6.10%,9.30%,0.16,0.29,0.279,0.331,0.44,0.349,99,1.6,0.5,23.5,4.4,1002987
2006,Hanley Ramirez,Marlins,158,700,17,119,59,51,8.00%,18.30%,0.188,0.343,0.292,0.353,0.48,0.358,116,10,24.5,-2.6,4.4,8001
1931,Sam West,Senators,132,559,3,77,91,6,5.40%,6.60%,0.148,0.354,0.333,0.369,0.481,0.386,121,-2.4,13.5,10.4,4.4,1013813
1943,Eric Tipton,Reds,140,585,9,82,49,1,14.50%,6.20%,0.136,0.297,0.288,0.395,0.424,0.393,141,-0.1,26.3,-4,4.4,1013080
1924,Tris Speaker,Indians,135,575,9,94,65,5,12.50%,2.30%,0.167,0.341,0.344,0.432,0.51,0.435,141,-0.3,31.4,-7.2,4.4,1012309
1901,Fielder Jones,White Sox,133,629,2,120,65,38,13.40%,,0.054,,0.311,0.412,0.365,0.38,125,1.8,24.1,-1.4,4.4,1006555
1970,Ron Santo,Cubs,154,655,26,83,114,2,14.00%,16.50%,0.209,0.286,0.267,0.369,0.476,0.374,115,0.6,13,6.6,4.4,1011447
1921,Bob Meusel,Yankees,149,646,24,104,136,17,5.30%,13.60%,0.241,0.342,0.318,0.356,0.559,0.407,125,2.3,25,-2.4,4.4,1008817
1967,George Scott,Red Sox,159,641,19,74,82,10,9.80%,18.60%,0.163,0.351,0.303,0.373,0.465,0.372,138,-0.5,24.9,-3.1,4.4,1011682
1963,Joe Torre,Braves,142,556,14,57,71,1,7.60%,14.20%,0.138,0.32,0.293,0.35,0.431,0.345,126,-1.5,14.4,6.5,4.4,1013133
1936,Wally Berger,Bees,138,595,25,88,91,1,8.90%,14.10%,0.195,0.304,0.288,0.361,0.483,0.383,134,-0.1,25.4,1.4,4.4,1000875
1952,Eddie Joost,Athletics,146,669,20,94,75,5,18.20%,14.10%,0.17,0.263,0.244,0.388,0.415,0.379,124,-1.3,17.3,2,4.4,1006604
1908,Art Devlin,Giants,157,629,2,59,45,19,9.90%,,0.06,,0.253,0.346,0.313,0.329,112,-0.8,7.1,10.8,4.4,1003248
1988,Tony Fernandez,Blue Jays,154,704,5,76,70,15,6.40%,9.20%,0.099,0.311,0.287,0.335,0.386,0.324,102,0.5,1.9,16.2,4.4,1004002
1953,Gus Zernial,Athletics,147,617,42,85,108,4,9.20%,12.80%,0.275,0.267,0.284,0.355,0.559,0.403,137,1.3,29.7,-7,4.4,1014432
1978,Bill Madlock,Giants,122,509,15,76,44,16,9.40%,7.70%,0.172,0.311,0.309,0.378,0.481,0.38,142,1.3,25,-1.5,4.4,1007957
1937,Tony Cuccinello,Bees,152,647,11,77,80,2,9.40%,6.20%,0.134,0.277,0.271,0.341,0.405,0.345,110,0,7.8,15.7,4.4,1002848
