Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1947,Ted Williams,Red Sox,156,693,32,125,114,0,23.40%,6.80%,0.292,0.332,0.343,0.499,0.634,0.508,207,-0.6,85.8,-6.7,10.5,1014040
1993,Barry Bonds,Giants,159,674,46,129,123,29,18.70%,11.70%,0.341,0.321,0.336,0.458,0.677,0.467,193,1,78.4,1.9,10.5,1109
1964,Willie Mays,Giants,157,665,47,121,111,19,12.30%,10.80%,0.311,0.268,0.296,0.383,0.607,0.424,173,2.1,57.1,17,10.5,1008315
1927,Rogers Hornsby,Giants,155,684,26,133,125,9,12.60%,5.60%,0.225,0.355,0.361,0.448,0.586,0.469,177,1.2,67.4,16.8,10.4,1006030
2018,Mookie Betts,Red Sox,136,614,32,129,80,30,13.20%,14.80%,0.294,0.368,0.346,0.438,0.64,0.449,185,6.9,69.1,11.6,10.4,13611
2012,Buster Posey,Giants,148,610,24,78,103,1,11.30%,15.70%,0.213,0.368,0.336,0.408,0.549,0.406,164,-4.6,41.8,38.7,10.4,9166
1910,Ty Cobb,Tigers,140,590,8,106,91,65,10.80%,,0.168,,0.383,0.456,0.551,0.481,206,7.4,70.9,4,10.3,1002378
1961,Mickey Mantle,Yankees,153,646,54,132,128,12,19.50%,17.30%,0.37,0.309,0.317,0.448,0.687,0.478,196,2.3,80.8,1,10.3,1008082
1954,Willie Mays,Giants,151,640,41,119,110,8,10.30%,8.90%,0.322,0.325,0.345,0.411,0.667,0.471,173,0.1,59.8,20.1,10.3,1008315
2003,Barry Bonds,Giants,130,550,45,111,90,7,26.90%,10.50%,0.408,0.304,0.341,0.529,0.749,0.503,212,0.7,80,5.6,10.2,1109
1990,Rickey Henderson,Athletics,136,594,28,119,61,65,16.30%,10.10%,0.252,0.325,0.325,0.439,0.577,0.447,190,8.8,69.4,9.3,10.2,194
1961,Norm Cash,Tigers,159,672,41,119,132,11,18.50%,12.60%,0.301,0.37,0.361,0.487,0.662,0.488,194,0.5,80.2,-0.5,10.2,1002043
2013,Mike Trout,Angels,157,716,27,109,97,33,15.40%,19.00%,0.234,0.376,0.323,0.432,0.557,0.423,176,8.2,70.5,0.5,10.2,10155
2012,Mike Trout,Angels,139,639,30,129,83,49,10.50%,21.80%,0.238,0.383,0.326,0.399,0.564,0.409,167,14.3,64.4,10.2,10.1,10155
2002,Alex Rodriguez,Rangers,162,725,57,125,142,9,12.00%,16.80%,0.324,0.29,0.3,0.392,0.623,0.424,158,4.7,56.1,19.6,10,1274
1909,Eddie Collins,Athletics,153,660,3,104,56,67,9.40%,,0.103,,0.347,0.416,0.45,0.422,172,7.5,55.5,11.1,10,1002451
1943,Stan Musial,Cardinals,157,701,13,108,81,9,10.30%,2.60%,0.206,0.353,0.357,0.425,0.562,0.461,180,1.5,62.9,6.6,9.9,1009405
1914,Benny Kauff,Hoosiers,154,667,8,120,95,75,10.80%,8.20%,0.165,0.4,0.37,0.447,0.534,0.465,167,12.4,65.3,2.7,9.9,1006715
1920,George Sisler,Browns,154,692,19,137,122,42,6.60%,2.70%,0.225,0.401,0.407,0.449,0.632,0.494,176,4.1,72.5,-0.6,9.9,1012021
1990,Barry Bonds,Pirates,151,621,33,104,114,52,15.00%,13.40%,0.264,0.301,0.301,0.406,0.565,0.42,165,5,52.3,21.5,9.9,1109
2001,Sammy Sosa,Cubs,160,711,64,146,160,0,16.30%,21.50%,0.409,0.336,0.328,0.437,0.737,0.465,186,-0.9,78.8,-1.1,9.9,302
1933,Jimmie Foxx,Athletics,149,670,48,125,163,2,14.30%,13.90%,0.347,0.361,0.356,0.449,0.703,0.51,189,-0.6,79,-6.3,9.9,1004285
1949,Ted Williams,Red Sox,155,730,43,150,159,1,22.20%,6.60%,0.307,0.318,0.343,0.49,0.65,0.511,186,-0.4,81.5,-7.7,9.9,1014040
1963,Willie Mays,Giants,157,671,38,115,103,8,9.80%,12.40%,0.268,0.309,0.314,0.38,0.582,0.417,174,0.7,54.9,12,9.8,1008315
