"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Rhys Hoskins","Phillies","160","705","29","86","85","2","16.5 %","24.5 %",".228",".267",".226",".364",".454",".347","113","-2.4","9.6","-10.5","2.1","16472"
"Danny Santana","Rangers","130","511","28","81","81","21","4.9 %","29.5 %",".251",".353",".283",".324",".534",".352","111","4.5","11.6","-8.8","2.0","10322"
"Charlie Blackmon","Rockies","140","634","32","112","86","2","6.3 %","16.4 %",".262",".334",".314",".364",".576",".387","125","-4.3","16.9","-16.6","2.0","7859"
"Hanser Alberto","Orioles","139","550","12","62","51","4","2.9 %","9.1 %",".116",".318",".305",".329",".422",".318","96","-1.2","-4.2","5.2","2.0","11902"
"Evan Longoria","Giants","129","508","20","59","69","3","8.5 %","22.0 %",".183",".291",".254",".325",".437",".322","101","-1.4","-0.7","4.6","2.0","9368"
"Jason Heyward","Cubs","147","589","21","78","62","8","11.5 %","18.7 %",".177",".281",".251",".343",".429",".328","101","2.1","2.7","-1.5","2.0","4940"
"Ryan Braun","Brewers","144","508","22","70","75","11","6.7 %","20.7 %",".220",".325",".285",".343",".505",".354","117","-0.7","10.6","-7.0","1.9","3410"
"Andrew Benintendi","Red Sox","138","615","13","72","68","10","9.6 %","22.8 %",".165",".333",".266",".343",".431",".330","101","2.7","3.1","-4.9","1.9","17901"
"Miguel Rojas","Marlins","132","526","5","52","46","9","6.1 %","11.8 %",".095",".314",".284",".331",".379",".305","90","-3.4","-10.2","13.0","1.9","7802"
"Jose Abreu","White Sox","159","693","33","85","123","2","5.2 %","21.9 %",".219",".320",".284",".330",".503",".344","117","-4.9","10.1","-15.1","1.9","15676"
"Eloy Jimenez","White Sox","122","504","31","69","79","0","6.0 %","26.6 %",".246",".308",".267",".315",".513",".343","116","1.8","12.3","-10.8","1.9","17484"
"Asdrubal Cabrera","- - -","131","514","18","69","91","4","11.1 %","20.0 %",".181",".294",".260",".342",".441",".331","98","-4.1","-5.2","6.8","1.9","4962"
"Avisail Garcia","Rays","125","530","20","61","72","10","5.8 %","23.6 %",".182",".340",".282",".332",".464",".334","112","-3.4","4.5","-4.6","1.8","5760"
"Shin-Soo Choo","Rangers","151","660","24","93","61","15","11.8 %","25.0 %",".190",".333",".265",".371",".455",".353","112","4.0","14.1","-19.1","1.8","3174"
"Cesar Hernandez","Phillies","161","667","14","77","71","9","6.7 %","15.0 %",".129",".313",".279",".333",".408",".315","92","1.4","-5.6","1.5","1.7","10556"
"Lorenzo Cain","Brewers","148","623","11","75","48","18","8.0 %","17.0 %",".112",".301",".260",".325",".372",".302","83","1.5","-12.6","9.7","1.7","9077"
"Luke Voit","Yankees","118","510","21","72","62","0","13.9 %","27.8 %",".200",".345",".263",".378",".464",".360","126","-3.8","13.0","-13.8","1.7","14811"
"Daniel Vogelbach","Mariners","144","558","30","73","76","0","16.5 %","26.7 %",".232",".232",".208",".341",".439",".333","111","0.0","7.9","-11.1","1.6","14130"
"Dexter Fowler","Cardinals","150","574","19","69","67","8","12.9 %","24.7 %",".170",".294",".238",".346",".409",".326","103","-0.3","1.7","-4.1","1.6","4062"
"Jose Iglesias","Reds","146","530","11","62","59","6","3.8 %","13.2 %",".119",".315",".288",".318",".407",".306","84","-2.0","-13.1","11.8","1.5","10231"
"Dansby Swanson","Braves","127","545","17","77","65","10","9.4 %","22.8 %",".172",".300",".251",".325",".422",".317","93","3.9","-1.4","-0.3","1.5","18314"
"Kevin Pillar","- - -","161","645","21","83","88","14","2.8 %","13.8 %",".173",".270",".259",".287",".432",".298","85","5.7","-7.1","1.3","1.5","12434"
"Jurickson Profar","Athletics","139","523","20","66","67","9","9.2 %","14.5 %",".190",".224",".222",".304",".412",".304","91","1.7","-4.4","1.0","1.5","10815"
"Freddy Galvis","- - -","147","589","23","67","70","4","4.8 %","24.6 %",".178",".312",".260",".296",".438",".307","89","-0.8","-9.0","3.2","1.4","6609"
"Wilson Ramos","Mets","141","524","14","52","73","1","8.4 %","13.2 %",".129",".310",".288",".351",".416",".327","105","-5.9","-2.1","-0.4","1.4","1433"
"Jackie Bradley Jr.","Red Sox","147","567","21","69","62","8","9.9 %","27.3 %",".196",".281",".225",".317",".421",".314","90","0.6","-6.8","1.2","1.4","12984"
"Elvis Andrus","Rangers","147","648","12","81","72","31","5.2 %","14.8 %",".118",".305",".275",".313",".393",".300","76","3.4","-16.6","7.5","1.3","8709"
"Starlin Castro","Marlins","162","676","22","68","86","2","4.1 %","16.4 %",".165",".293",".270",".300",".436",".307","91","-4.4","-12.3","3.8","1.3","4579"
"Alex Gordon","Royals","150","633","13","77","76","5","8.1 %","15.8 %",".129",".301",".266",".345",".396",".319","96","-2.4","-5.8","-3.3","1.3","5209"
"Yasiel Puig","- - -","149","611","24","76","84","19","7.2 %","21.8 %",".191",".308",".267",".327",".458",".330","101","-0.9","-0.4","-6.8","1.3","14225"
"Eddie Rosario","Twins","137","590","32","91","109","3","3.7 %","14.6 %",".224",".273",".276",".300",".500",".329","103","0.1","2.7","-10.4","1.3","12155"
"Leury Garcia","White Sox","140","618","8","93","40","15","3.4 %","22.5 %",".099",".353",".279",".310",".378",".294","83","5.5","-7.6","-2.0","1.2","5913"
"Jason Kipnis","Indians","121","511","17","52","65","7","7.8 %","17.2 %",".166",".265",".245",".304",".410",".301","82","0.0","-11.9","4.9","1.1","9776"
"Yolmer Sanchez","White Sox","149","555","2","59","43","5","7.9 %","21.1 %",".069",".324",".252",".318",".321",".281","74","2.1","-16.1","6.9","1.0","11602"
"Josh Reddick","Astros","141","550","14","57","56","5","6.5 %","12.0 %",".134",".288",".275",".319",".409",".308","94","0.3","-4.2","-5.5","0.9","3892"
